Date : 2023-01-15 21:00:07
Directory : c:\repos\LinkinPark
Total : 244 files,  33665 codes, 734 comments, 2447 blanks, all 36846 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\app\facturacion\facturacion-control                                                                    |          3 |        179 |         53 |         48 |        280 |
| src\app\facturacion\facturacion-form                                                                       |          4 |         30 |          0 |         13 |         43 |
| src\app\facturacion\facturacion-view                                                                       |          4 |        139 |          0 |         24 |        163 |
| src\app\home                                                                                               |         12 |        255 |          2 |         73 |        330 |
| src\app\home (Files)                                                                                       |          4 |         65 |          0 |         17 |         82 |
| src\app\home\header                                                                                        |          4 |         59 |          0 |         29 |         88 |
| src\app\home\navbar                                                                                        |          4 |        131 |          2 |         27 |        160 |
| src\app\inicio                                                                                             |          4 |        203 |          7 |         27 |        237 |
| src\app\interfaces                                                                                         |          9 |         81 |          0 |         17 |         98 |
| src\app\logs                                                                                               |          4 |         89 |          3 |         18 |        110 |
| src\app\ocupacion                                                                                          |          4 |        206 |          1 |         16 |        223 |
| src\app\pagenotfound                                                                                       |          4 |         30 |          0 |         13 |         43 |
| src\app\perfil-empresa                                                                                     |          8 |        325 |         62 |        116 |        503 |
| src\app\perfil-empresa (Files)                                                                             |          4 |        135 |         25 |         54 |        214 |
| src\app\perfil-empresa\empresa-form                                                                        |          4 |        190 |         37 |         62 |        289 |
| src\app\perfil-usuario                                                                                     |          4 |         54 |          2 |         24 |         80 |
| src\app\playa                                                                                              |         12 |        702 |         31 |        110 |        843 |
| src\app\playa (Files)                                                                                      |          1 |         10 |          0 |          0 |         10 |
| src\app\playa\playa-control                                                                                |          3 |        154 |         19 |         41 |        214 |
| src\app\playa\playa-form                                                                                   |          4 |        418 |          9 |         44 |        471 |
| src\app\playa\playa-view                                                                                   |          4 |        120 |          3 |         25 |        148 |
| src\app\scanner                                                                                            |          4 |         41 |          0 |         14 |         55 |
| src\app\servicios                                                                                          |         35 |      1,217 |        148 |        420 |      1,785 |
| src\app\servicios (Files)                                                                                  |          5 |         99 |          4 |         31 |        134 |
| src\app\servicios\Fechas                                                                                   |          8 |        149 |          8 |         57 |        214 |
| src\app\servicios\Fechas (Files)                                                                           |          2 |         47 |          8 |         28 |         83 |
| src\app\servicios\Fechas\calendario                                                                        |          6 |        102 |          0 |         29 |        131 |
| src\app\servicios\abono                                                                                    |          2 |         72 |          7 |         31 |        110 |
| src\app\servicios\autentificacion                                                                          |          2 |        131 |         20 |         38 |        189 |
| src\app\servicios\caja                                                                                     |          6 |        227 |         39 |         82 |        348 |
| src\app\servicios\database                                                                                 |          2 |        104 |         10 |         24 |        138 |
| src\app\servicios\facturacion                                                                              |          4 |        159 |         20 |         71 |        250 |
| src\app\servicios\facturacion (Files)                                                                      |          2 |        104 |          9 |         43 |        156 |
| src\app\servicios\facturacion\consultaFacturacion                                                          |          2 |         55 |         11 |         28 |         94 |
| src\app\servicios\patentes                                                                                 |          2 |         72 |          8 |         17 |         97 |
| src\app\servicios\storage                                                                                  |          4 |        204 |         32 |         69 |        305 |
| src\app\shared                                                                                             |         11 |        289 |          0 |         56 |        345 |
| src\app\shared (Files)                                                                                     |          1 |         24 |          0 |          0 |         24 |
| src\app\shared\btn-agregar                                                                                 |          2 |         50 |          0 |         11 |         61 |
| src\app\shared\btn-consultar                                                                               |          2 |         60 |          0 |         11 |         71 |
| src\app\shared\btn-editar                                                                                  |          2 |         57 |          0 |         11 |         68 |
| src\app\shared\btn-eliminar                                                                                |          2 |         53 |          0 |         13 |         66 |
| src\app\shared\btn-reimpresion                                                                             |          2 |         45 |          0 |         10 |         55 |
| src\app\spinner                                                                                            |          4 |         70 |          0 |         14 |         84 |
| src\app\tarifas                                                                                            |         11 |        486 |         39 |         98 |        623 |
| src\app\tarifas\tarifas-control                                                                            |          3 |         84 |          1 |         30 |        115 |
| src\app\tarifas\tarifas-form                                                                               |          4 |        275 |         36 |         42 |        353 |
| src\app\tarifas\tarifas-view                                                                               |          4 |        127 |          2 |         26 |        155 |
| src\app\ticket-entrada                                                                                     |          4 |        399 |         47 |         86 |        532 |
| src\environments                                                                                           |          2 |         26 |         11 |          5 |         42 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                   | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\repos\LinkinPark\README.md                                                                              | Markdown           |         22 |          0 |         20 |         42 |
| c:\repos\LinkinPark\angular.json                                                                           | JSON               |        115 |          0 |          3 |        118 |
| c:\repos\LinkinPark\firebase.json                                                                          | JSON               |          1 |          0 |          0 |          1 |
| c:\repos\LinkinPark\karma.conf.js                                                                          | JavaScript         |         37 |          6 |          2 |         45 |
| c:\repos\LinkinPark\package-lock.json                                                                      | JSON               |     23,286 |          0 |          1 |     23,287 |
| c:\repos\LinkinPark\package.json                                                                           | JSON               |         57 |          0 |          0 |         57 |
| c:\repos\LinkinPark\src\app\app-routing.module.ts                                                          | TypeScript         |         98 |          3 |          8 |        109 |
| c:\repos\LinkinPark\src\app\app.component.css                                                              | CSS                |         54 |          2 |          3 |         59 |
| c:\repos\LinkinPark\src\app\app.component.html                                                             | HTML               |          1 |          0 |          0 |          1 |
| c:\repos\LinkinPark\src\app\app.component.scss                                                             | SCSS               |         23 |          0 |          2 |         25 |
| c:\repos\LinkinPark\src\app\app.component.spec.ts                                                          | TypeScript         |         27 |          0 |          5 |         32 |
| c:\repos\LinkinPark\src\app\app.component.ts                                                               | TypeScript         |         21 |          3 |          8 |         32 |
| c:\repos\LinkinPark\src\app\app.module.ts                                                                  | TypeScript         |        157 |          3 |         29 |        189 |
| c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.html                        | HTML               |         24 |          2 |          7 |         33 |
| c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.scss                        | SCSS               |        536 |          9 |        119 |        664 |
| c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.spec.ts                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\appLogin\forgot-password\forgot-password.component.ts                          | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.html                              | HTML               |          8 |          0 |          5 |         13 |
| c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.scss                              | SCSS               |         28 |          0 |          3 |         31 |
| c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\appLogin\login-header\login-header.component.ts                                | TypeScript         |         11 |          0 |          5 |         16 |
| c:\repos\LinkinPark\src\app\appLogin\login\login.component.css                                             | CSS                |        564 |          9 |        127 |        700 |
| c:\repos\LinkinPark\src\app\appLogin\login\login.component.html                                            | HTML               |         37 |          5 |         11 |         53 |
| c:\repos\LinkinPark\src\app\appLogin\login\login.component.spec.ts                                         | TypeScript         |         20 |          0 |          6 |         26 |
| c:\repos\LinkinPark\src\app\appLogin\login\login.component.ts                                              | TypeScript         |         37 |          1 |         22 |         60 |
| c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.html                                          | HTML               |          1 |          0 |          0 |          1 |
| c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.scss                                          | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.spec.ts                                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\appLogin\logout\logout.component.ts                                            | TypeScript         |         17 |          1 |          6 |         24 |
| c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.html                                        | HTML               |         52 |          1 |          7 |         60 |
| c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.scss                                        | SCSS               |        536 |          9 |        119 |        664 |
| c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.spec.ts                                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\appLogin\sign-up\sign-up.component.ts                                          | TypeScript         |         18 |          4 |         11 |         33 |
| c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.html                              | HTML               |         37 |          1 |          9 |         47 |
| c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.scss                              | SCSS               |        536 |          9 |        119 |        664 |
| c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.spec.ts                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\appLogin\verify-email\verify-email.component.ts                                | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\caja\caja-control\caja-control.component.scss                                  | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\caja\caja-control\caja-control.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\caja-control\caja-control.component.ts                                    | TypeScript         |        140 |         13 |         29 |        182 |
| c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.html                                          | HTML               |         44 |          0 |          6 |         50 |
| c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.scss                                          | SCSS               |         12 |          0 |          1 |         13 |
| c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.spec.ts                                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\caja-log\caja-log.component.ts                                            | TypeScript         |         40 |          7 |         14 |         61 |
| c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.html                                        | HTML               |        130 |          6 |         15 |        151 |
| c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.scss                                        | SCSS               |         25 |          0 |          6 |         31 |
| c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.spec.ts                                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\caja-view\caja-view.component.ts                                          | TypeScript         |         40 |          5 |         10 |         55 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.html                | HTML               |         33 |          1 |          2 |         36 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.scss                | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.spec.ts             | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-apertura-form\caja-apertura-form.component.ts                  | TypeScript         |         70 |         24 |         42 |        136 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.html                    | HTML               |         27 |          7 |          8 |         42 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.scss                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-cierre-form\caja-cierre-form.component.ts                      | TypeScript         |         66 |         11 |         38 |        115 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.html                    | HTML               |         34 |          0 |          7 |         41 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.scss                    | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.spec.ts                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-egreso-form\caja-egreso-form.component.ts                      | TypeScript         |         62 |          4 |         24 |         90 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.html                  | HTML               |         34 |          0 |          7 |         41 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.scss                  | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.spec.ts               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\forms\caja-ingreso-form\caja-ingreso-form.component.ts                    | TypeScript         |         69 |         24 |         41 |        134 |
| c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.html                                    | HTML               |         21 |          1 |          4 |         26 |
| c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.scss                                    | SCSS               |          9 |          0 |          0 |          9 |
| c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.spec.ts                                 | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\caja\sesion-view\sesion-view.component.ts                                      | TypeScript         |         37 |          1 |          6 |         44 |
| c:\repos\LinkinPark\src\app\clientes\clientes-control\clientes-control.component.scss                      | SCSS               |          4 |          0 |          1 |          5 |
| c:\repos\LinkinPark\src\app\clientes\clientes-control\clientes-control.component.spec.ts                   | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\clientes\clientes-control\clientes-control.component.ts                        | TypeScript         |         93 |          3 |         12 |        108 |
| c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.html                            | HTML               |         73 |         27 |         13 |        113 |
| c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.scss                            | SCSS               |          4 |          0 |          2 |          6 |
| c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.component.ts                              | TypeScript         |        126 |          8 |         44 |        178 |
| c:\repos\LinkinPark\src\app\clientes\clientes-form\clientes-form.css                                       | CSS                |          6 |          0 |          3 |          9 |
| c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.html                            | HTML               |         63 |          1 |          3 |         67 |
| c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.scss                            | SCSS               |         16 |          0 |          2 |         18 |
| c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.spec.ts                         | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\clientes\clientes-view\clientes-view.component.ts                              | TypeScript         |         54 |          1 |         19 |         74 |
| c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.html                                  | HTML               |         11 |          0 |          5 |         16 |
| c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.scss                                  | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.spec.ts                               | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\clientes\pago-abono\pago-abono.component.ts                                    | TypeScript         |         46 |          2 |          8 |         56 |
| c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.html                          | HTML               |        180 |          3 |          8 |        191 |
| c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.scss                          | SCSS               |          0 |          0 |          3 |          3 |
| c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.spec.ts                       | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\clientes\vehiculos-form\vehiculos-form.component.ts                            | TypeScript         |        233 |         24 |         33 |        290 |
| c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.html           | HTML               |        129 |          8 |          6 |        143 |
| c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.scss           | SCSS               |          3 |          0 |          1 |          4 |
| c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.spec.ts        | TypeScript         |         17 |          0 |          6 |         23 |
| c:\repos\LinkinPark\src\app\facturacion\consulta-facturacion\consulta-facturacion.component.ts             | TypeScript         |         63 |         19 |         13 |         95 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-control\facturacion-control.component.scss             | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-control\facturacion-control.component.spec.ts          | TypeScript         |         17 |          0 |          6 |         23 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-control\facturacion-control.component.ts               | TypeScript         |        162 |         53 |         41 |        256 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.html                   | HTML               |          1 |          0 |          1 |          2 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.scss                   | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.spec.ts                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-form\facturacion-form.component.ts                     | TypeScript         |         11 |          0 |          5 |         16 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.html                   | HTML               |         70 |          0 |          5 |         75 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.scss                   | SCSS               |         13 |          0 |          1 |         14 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.spec.ts                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\facturacion\facturacion-view\facturacion-view.component.ts                     | TypeScript         |         38 |          0 |         12 |         50 |
| c:\repos\LinkinPark\src\app\home\header\header.component.css                                               | CSS                |         20 |          0 |          5 |         25 |
| c:\repos\LinkinPark\src\app\home\header\header.component.html                                              | HTML               |          7 |          0 |         13 |         20 |
| c:\repos\LinkinPark\src\app\home\header\header.component.spec.ts                                           | TypeScript         |         20 |          0 |          6 |         26 |
| c:\repos\LinkinPark\src\app\home\header\header.component.ts                                                | TypeScript         |         12 |          0 |          5 |         17 |
| c:\repos\LinkinPark\src\app\home\home.component.css                                                        | CSS                |          7 |          0 |          2 |          9 |
| c:\repos\LinkinPark\src\app\home\home.component.html                                                       | HTML               |         24 |          0 |          4 |         28 |
| c:\repos\LinkinPark\src\app\home\home.component.spec.ts                                                    | TypeScript         |         19 |          0 |          6 |         25 |
| c:\repos\LinkinPark\src\app\home\home.component.ts                                                         | TypeScript         |         15 |          0 |          5 |         20 |
| c:\repos\LinkinPark\src\app\home\navbar\navbar.component.html                                              | HTML               |         48 |          0 |         12 |         60 |
| c:\repos\LinkinPark\src\app\home\navbar\navbar.component.scss                                              | SCSS               |         54 |          2 |          4 |         60 |
| c:\repos\LinkinPark\src\app\home\navbar\navbar.component.spec.ts                                           | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\home\navbar\navbar.component.ts                                                | TypeScript         |         11 |          0 |          5 |         16 |
| c:\repos\LinkinPark\src\app\inicio\inicio.component.html                                                   | HTML               |         56 |          0 |          2 |         58 |
| c:\repos\LinkinPark\src\app\inicio\inicio.component.scss                                                   | SCSS               |          4 |          0 |          3 |          7 |
| c:\repos\LinkinPark\src\app\inicio\inicio.component.spec.ts                                                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\inicio\inicio.component.ts                                                     | TypeScript         |        125 |          7 |         16 |        148 |
| c:\repos\LinkinPark\src\app\interfaces\Icaja.ts                                                            | TypeScript         |          6 |          0 |          1 |          7 |
| c:\repos\LinkinPark\src\app\interfaces\IplayaLogI.ts                                                       | TypeScript         |          9 |          0 |          4 |         13 |
| c:\repos\LinkinPark\src\app\interfaces\clientes.ts                                                         | TypeScript         |          9 |          0 |          0 |          9 |
| c:\repos\LinkinPark\src\app\interfaces\consulta-facturacion.ts                                             | TypeScript         |          6 |          0 |          5 |         11 |
| c:\repos\LinkinPark\src\app\interfaces\empresa.ts                                                          | TypeScript         |          8 |          0 |          1 |          9 |
| c:\repos\LinkinPark\src\app\interfaces\fechas.ts                                                           | TypeScript         |          9 |          0 |          1 |         10 |
| c:\repos\LinkinPark\src\app\interfaces\playaI.ts                                                           | TypeScript         |         11 |          0 |          4 |         15 |
| c:\repos\LinkinPark\src\app\interfaces\tarifas.ts                                                          | TypeScript         |         10 |          0 |          0 |         10 |
| c:\repos\LinkinPark\src\app\interfaces\vehiculo.ts                                                         | TypeScript         |         13 |          0 |          1 |         14 |
| c:\repos\LinkinPark\src\app\logs\logs.component.html                                                       | HTML               |         25 |          0 |          4 |         29 |
| c:\repos\LinkinPark\src\app\logs\logs.component.scss                                                       | SCSS               |         12 |          0 |          2 |         14 |
| c:\repos\LinkinPark\src\app\logs\logs.component.spec.ts                                                    | TypeScript         |         17 |          0 |          6 |         23 |
| c:\repos\LinkinPark\src\app\logs\logs.component.ts                                                         | TypeScript         |         35 |          3 |          6 |         44 |
| c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.css                                              | CSS                |        158 |          0 |          3 |        161 |
| c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.html                                             | HTML               |         17 |          1 |          2 |         20 |
| c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.spec.ts                                          | TypeScript         |         20 |          0 |          6 |         26 |
| c:\repos\LinkinPark\src\app\ocupacion\ocupacion.component.ts                                               | TypeScript         |         11 |          0 |          5 |         16 |
| c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.html                                       | HTML               |          1 |          0 |          1 |          2 |
| c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.scss                                       | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.spec.ts                                    | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\pagenotfound\pagenotfound.component.ts                                         | TypeScript         |         11 |          0 |          5 |         16 |
| c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.html                        | HTML               |         63 |         27 |         13 |        103 |
| c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.spec.ts                     | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\perfil-empresa\empresa-form\empresa-form.component.ts                          | TypeScript         |        109 |         10 |         42 |        161 |
| c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.html                                   | HTML               |         26 |          0 |         15 |         41 |
| c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.scss                                   | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\perfil-empresa\perfil-empresa.component.ts                                     | TypeScript         |         91 |         25 |         32 |        148 |
| c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.html                                   | HTML               |         18 |          1 |          5 |         24 |
| c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.scss                                   | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.spec.ts                                | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\perfil-usuario\perfil-usuario.component.ts                                     | TypeScript         |         18 |          1 |         12 |         31 |
| c:\repos\LinkinPark\src\app\playa\playa-control\playa-control.component.scss                               | SCSS               |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\playa\playa-control\playa-control.component.spec.ts                            | TypeScript         |         18 |          0 |          6 |         24 |
| c:\repos\LinkinPark\src\app\playa\playa-control\playa-control.component.ts                                 | TypeScript         |        136 |         19 |         34 |        189 |
| c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.css                                      | CSS                |          0 |          0 |          1 |          1 |
| c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.html                                     | HTML               |         65 |          0 |          3 |         68 |
| c:\repos\LinkinPark\src\app\playa\playa-form\playa-form.component.spec.ts                                  | TypeScript         |         20 |          0 |          6 |         26 |
